SchemaName,TableName,ColumnName,OrdinalPosition,DataType,MaxLength,NumericPrecision,NumericScale,IsNullable,ColumnDefault
pats,tbl_EandMFormPregnancy,ChangesInRoutineTxt,27,nvarchar,-1,NULL,NULL,YES,NULL
pats,tbl_EandMFormPregnancy,UDSRadioBtn,28,int,NULL,10,0,YES,NULL
pats,tbl_EandMFormPregnancy,SmokerRadioBtn,29,int,NULL,10,0,YES,NULL
pats,tbl_EandMFormPregnancy,IllicitDrugTxt,30,nvarchar,256,NULL,NULL,YES,NULL
pats,tbl_EandMFormPregnancy,NoOfPregnanciesTxt,31,nvarchar,50,NULL,NULL,YES,NULL
pats,tbl_EandMFormPregnancy,DeliveriesTxt,32,nvarchar,50,NULL,NULL,YES,NULL
pats,tbl_EandMFormPregnancy,DateOfLastOB,33,datetime,NULL,NULL,NULL,YES,NULL
pats,tbl_EandMFormPregnancy,NameofOBTxt,34,nvarchar,50,NULL,NULL,YES,NULL
pats,tbl_EandMFormPregnancy,PregnancyCommentsTxt,35,nvarchar,-1,NULL,NULL,YES,NULL
pats,tbl_EandMFormPregnancy,WTTxt,36,varchar,50,NULL,NULL,YES,NULL
pats,tbl_EandMFormPregnancy,GravidaTxt,37,nvarchar,-1,NULL,NULL,YES,NULL
pats,tbl_EandMFormPregnancy,ParaTxt,38,nvarchar,-1,NULL,NULL,YES,NULL
pats,tbl_EandMFormPregnancy,Provider,39,nvarchar,128,NULL,NULL,YES,NULL
pats,tbl_EandMFormPregnancy,PrenatalCare,40,bit,NULL,NULL,NULL,YES,NULL
pats,tbl_EandMFormPregnancy,ReviewedandAcknowledged,41,bit,NULL,NULL,NULL,YES,NULL
pats,tbl_EandMFormPregnancy,NAPregnancyGrid,42,bit,NULL,NULL,NULL,YES,NULL
pats,tbl_EandMFormPregnancy,LastModAt,43,datetime,NULL,NULL,NULL,YES,NULL
pats,tbl_Enrollment,ID,1,int,NULL,10,0,NO,NULL
pats,tbl_Enrollment,SiteCode,2,nvarchar,25,NULL,NULL,NO,NULL
pats,tbl_Enrollment,RowChkSum,3,int,NULL,10,0,NO,NULL
pats,tbl_Enrollment,RowState,4,bit,NULL,NULL,NULL,YES,NULL
pats,tbl_Enrollment,cltID,5,int,NULL,10,0,YES,NULL
pats,tbl_Enrollment,Program,6,varchar,100,NULL,NULL,YES,NULL
pats,tbl_Enrollment,EnrollDate,7,datetime,NULL,NULL,NULL,YES,NULL
pats,tbl_Enrollment,EnrollReasonCode,8,varchar,100,NULL,NULL,YES,NULL
pats,tbl_Enrollment,EnrollReasonText,9,varchar,300,NULL,NULL,YES,NULL
pats,tbl_Enrollment,DischargeReasonCode,10,varchar,100,NULL,NULL,YES,NULL
pats,tbl_Enrollment,DischargeReasonText,11,varchar,300,NULL,NULL,YES,NULL
pats,tbl_Enrollment,DischargeDate,12,datetime,NULL,NULL,NULL,YES,NULL
pats,tbl_Enrollment,strStaff,13,varchar,50,NULL,NULL,YES,NULL
pats,tbl_Enrollment,Transfer,14,bit,NULL,NULL,NULL,YES,NULL
pats,tbl_Enrollment,upsize_ts,15,timestamp,NULL,NULL,NULL,YES,NULL
pats,tbl_Enrollment,ParentEnrollID,16,int,NULL,10,0,YES,NULL
pats,tbl_Enrollment,NoDarts_Enroll,17,bit,NULL,NULL,NULL,YES,NULL
pats,tbl_Enrollment,NoDarts_Discharge,18,bit,NULL,NULL,NULL,YES,NULL
pats,tbl_Enrollment,repOldEnroll,19,numeric,NULL,18,0,YES,NULL
pats,tbl_Enrollment,DASAreason,20,varchar,1,NULL,NULL,YES,NULL
pats,tbl_Enrollment,dtLastContact,21,datetime,NULL,NULL,NULL,YES,NULL
pats,tbl_Enrollment,strArrests,22,varchar,2,NULL,NULL,YES,NULL
pats,tbl_Enrollment,strBaby,23,varchar,1,NULL,NULL,YES,NULL
pats,tbl_Enrollment,strBabyDF,24,varchar,1,NULL,NULL,YES,NULL
pats,tbl_Enrollment,strEduc,25,varchar,2,NULL,NULL,YES,NULL
pats,tbl_Enrollment,strEmpStat,26,varchar,1,NULL,NULL,YES,NULL
pats,tbl_Enrollment,strLiving,27,varchar,1,NULL,NULL,YES,NULL
pats,tbl_Enrollment,strNILF,28,varchar,1,NULL,NULL,YES,NULL
pats,tbl_Enrollment,strPriFreq,29,varchar,1,NULL,NULL,YES,NULL
pats,tbl_Enrollment,strPriProb,30,varchar,2,NULL,NULL,YES,NULL
pats,tbl_Enrollment,strSecFreq,31,varchar,1,NULL,NULL,YES,NULL
pats,tbl_Enrollment,strSecProb,32,varchar,2,NULL,NULL,YES,NULL
pats,tbl_Enrollment,strSelfHelp,33,varchar,1,NULL,NULL,YES,NULL
pats,tbl_Enrollment,strSelfHelpDet,34,varchar,2,NULL,NULL,YES,NULL
pats,tbl_Enrollment,strSuppInt,35,varchar,1,NULL,NULL,YES,NULL
pats,tbl_Enrollment,strTerFreq,36,varchar,1,NULL,NULL,YES,NULL
pats,tbl_Enrollment,strTerProb,37,varchar,2,NULL,NULL,YES,NULL
pats,tbl_Enrollment,strSchoolJobTraining,38,varchar,1,NULL,NULL,YES,NULL
pats,tbl_Enrollment,Counselor,39,varchar,100,NULL,NULL,YES,NULL
pats,tbl_Enrollment,DischargeSubReasonCode,40,varchar,100,NULL,NULL,YES,NULL
pats,tbl_Enrollment,EnrollSubReasonCode,41,varchar,100,NULL,NULL,YES,NULL
pats,tbl_Enrollment,OnDemand,42,bit,NULL,NULL,NULL,YES,NULL
pats,tbl_Enrollment,physician,43,varchar,100,NULL,NULL,YES,NULL
pats,tbl_Enrollment,SiteID,44,int,NULL,10,0,YES,NULL
pats,tbl_Enrollment,MODULE,45,varchar,100,NULL,NULL,YES,NULL
pats,tbl_Enrollment,MODULENote,46,varchar,30,NULL,NULL,YES,NULL
pats,tbl_Enrollment,dischargeIncome,47,nvarchar,50,NULL,NULL,YES,NULL
pats,tbl_Enrollment,intakeIncome,48,nvarchar,50,NULL,NULL,YES,NULL
pats,tbl_Enrollment,strDBnotes,49,varchar,100,NULL,NULL,YES,NULL
pats,tbl_Enrollment,deleterecord,50,varchar,10,NULL,NULL,YES,NULL
pats,tbl_Enrollment,dtLastQuery,51,datetime,NULL,NULL,NULL,YES,NULL
